Estimators	RMSE	Time
20	32095.51984525947	5.313506364822388
40	31433.96382479622	9.508603572845459
60	31008.19736165065	14.775194644927979
80	31067.79957949206	20.840567111968994
100	31085.616960033174	24.71361017227173
120	31013.242676740436	30.435688734054565
140	30854.732212827104	34.670353412628174
160	30705.654121559743	39.30179238319397
180	30603.55255374594	43.90663933753967
200	30442.90606351617	48.51151967048645
220	30361.830795120146	49.51116895675659
240	30417.8948193829	48.593456745147705
260	30376.061817709684	52.3108594417572
280	30330.450815909346	56.467795610427856
300	30329.06461546597	59.12687015533447
320	30263.54643031066	62.664182901382446
340	30230.45657284365	75.64118814468384
360	30232.979164513476	73.89795088768005
380	30198.82180656431	78.70670056343079
400	30203.622551525932	91.1223464012146
420	30220.186300616344	129.4335389137268
440	30198.581304821106	390.64552450180054
